Артикул;Номенклатура;Тип;Ед;Дополнительное описание номенклатуры;Картинка;Цена
;Pilot-260 20";товар;шт;6-ск, рама  STEEL (13"), аморт. вилка, SHIMANO SL-RS36/RD-TY21, AL обода, тормоза V-типа POWER, пластиковые крылья;;11915
;Pilot-270 20";товар;шт;6-ск, рама  STEEL (13"), аморт. вилка ZOOM, SHIMANO MF-TZ20/SL-RS36/RD-TY21, двойные AL обода, тормоза V-типа RADIUS, пластиковые крылья;;14620
;Pilot-280 MD 20" (новая модель);товар;шт;7-ск, повышенная проходимость (FAT-BIKE), рама AL (11"), аморт. вилка, SHIMANO MF-TZ21/SL-RS35/RD-M360, двойные AL обода, мех. дисковый тормоза TEKTRO, покрышки 20"x4.0" CHAO YANG , звонок;;19775
;Pilot-290 20";товар;шт;6-ск, рама AL (12"), аморт. вилка  XCT SR SUNTOUR, SHIMANO SL-RS36/RD-TY21/MF-TZ20, двойные AL обода WEINMANN, тормоза V-типа TEKTRO, пластиковые крылья, звонок;;18820
;Pilot-290.13;товар;шт;6-ск, рама AL (300мм), аморт. вилка  XCT SR SUNTOUR, SHIMANO SL-RS36/RD-TY21/MF-TZ20, двойные AL обода WEINMANN, AL тормоза V-типа TEKTRO, пластиковые крылья, звонок;;16795
;Mustang V 24" (новый дизайн);товар;шт;18-ск., рама  STEEL (16"), аморт. вилка сталь, SHIMANO SL-RS36/FD-TY10/RD-TX35D/MF-TZ20 ,AL обода, AL тормоза V-типа POWER, пл. крылья;;14090
;Navigator-400 V 24";товар;шт;18-ск., рама  STEEL (14"), аморт. вилка стальная, SHIMANO SL-RS36/FD-TZ30/RD-TX35/MF-TZ20, двойные AL обода, AL тормоза, пл. крылья, звонок;;12465
;Navigator-410 V 24";товар;шт;18-ск., рама  STEEL (15"), аморт. вилка SR SUNTOUR, SHIMANO SL-RS36/FD-TY10/RD-TX35D/MF-TZ20, двойные AL обода, AL тормоза, пл. крылья;;13680
;Navigator-420 V 24";товар;шт;18-ск., рама AL (13"), аморт.вилка SR SUNOTUR, SHIMANO SL-RS45/FD-TX50/RD-TX35D/MF-TZ20, двойные AL обода, AL тормоза V-типа POWER , пл. крылья, звонок;;15305
;Navigator-430 V 24".14;товар;шт;6-ск, рама AL, аморт. вилка XCT SR SUNTOUR, SHIMANO SL-RS41/RD-TY18/MF-TZ20, двойные  AL обода, AL тормоза V-типа, пл. крылья, звонок.;;12390
